nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
ANTHONY MERIC,RC Toulon,Demi mêlée,15 Février 1995,France,177,75
MAXIME MERMOZ,Stade Toulousain,Centre,28 Juillet 1986,France,182,95
GEORGE MERRICK,ASM Clermont,2e ligne,4 Octobre 1992,Angleterre,,
FABRICE METZ,Section Paloise,2e ligne,23 Janvier 1991,France,196,121
XAVIER MIGNOT,LOU Rugby,Centre,27 Janvier 1994,France,,
KONSTANTINE MIKAUTADZE,Montpellier Hérault Rugby,2e ligne,1 Juillet 1991,Géorgie,200,123
LOIC MIOCHE,Stade Rochelais,Centre,29 Mai 1998,France,,
Antoine MIQUEL,Stade Toulousain,3e ligne,20 Juin 1994,France,190,105
GEORGE MOALA,ASM Clermont,Centre,5 Novembre 1990,Nouvelle Zélande,,
JESSE MOGG,Section Paloise,Arrière,8 Juin 1989,Australie,,
GEOFFREY MOISE,Section Paloise,1ère ligne,20 Août 1991,France,,
Giovanni MONTEMAURI,Stade Français Paris,Demi d'ouverture,24 Octobre 2000,Italie,,
Victor MOREAUX,Castres Olympique,2e ligne,19 Septembre 1993,France,,
SERGIO MOREIRA,Montpellier Hérault Rugby,3e ligne,11 Juillet 2000,Afrique du Sud,,
SIMON MORETTI,RC Toulon,Ailier,19 Avril 2000,France,,
Adrian MOTOC,SU Agen,2e ligne,11 Juillet 1996,Roumanie,,
Baptiste MOUCHOUS,Stade Toulousain,Demi d'ouverture,19 Octobre 1998,France,,
Luc MOUSSET,Aviron Bayonnais,1ère ligne,3 Avril 1994,France,,
MARCELL MULLER,Montpellier Hérault Rugby,Ailier,4 Mai 2001,Afrique du Sud,,
Axel MULLER ARANDA,CA Brive,Ailier,25 Novembre 1993,Etats-Unis,,
Thomas MURDAY,SU Agen,2e ligne,27 Avril 1989,Australie,,
KINI MURIMURIVALU,Stade Rochelais,Arrière,15 Mai 1989,Fidji,176,97
Peyo MUSCARDITZ,Aviron Bayonnais,Centre,2 Janvier 1996,France,,
Nemani NADOLO,Montpellier Hérault Rugby,Ailier,31 Janvier 1988,Fidji,,
Jim NAGUSA,Montpellier Hérault Rugby,Ailier,14 Juillet 1987,Fidji,182,100
Sefanaia NAIVALU,Stade Français Paris,Ailier,7 Janvier 1992,Fidji,,
Filipo NAKOSI,Castres Olympique,Ailier,8 Avril 1992,Fidji,182,96
GUILLAUME NAMY,CA Brive,Ailier,3 Avril 1989,France,182,83
Apisai NAQALEVU,ASM Clermont,Centre,21 Août 1989,Fidji,,
Misha NARIASHVILI,Montpellier Hérault Rugby,1ère ligne,25 Mai 1990,Géorgie,186,118
PENIAMI NASALI NARISIA,CA Brive,1ère ligne,10 Juin 1997,Fidji,,
Inosi Turaga NASIGANIYAVI,Montpellier Hérault Rugby,Ailier,24 Mai 2000,Australie,,
JERONIMO NEGROTTO,SU Agen,1ère ligne,3 Octobre 1988,Italie,,
RODRIGUE NETI,Stade Toulousain,1ère ligne,26 Avril 1995,France,185,108
GABRIEL NGANDEBE,Montpellier Hérault Rugby,Ailier,30 Mars 1997,France,,
Paula Mark NGAUAMO,SU Agen,1ère ligne,19 Février 1990,Nouvelle Zélande,,
FLORIAN NICOT,Section Paloise,Centre,30 Septembre 1986,France,184,95
HANS NKINSI,Castres Olympique,2e ligne,21 Septembre 1992,France,,
Romain NTAMACK,Stade Toulousain,Arrière,1 Mai 1999,France,81,
THEO NTAMACK MUYENGA,Stade Toulousain,3e ligne,29 Mai 2002,France,,
Pierre NUENO,Section Paloise,Centre,15 Mai 1996,France,,
Omar ODISHVILI,Section Paloise,1ère ligne,2 Juillet 1997,Géorgie,,
Stuart OLDING,CA Brive,Centre,11 Mars 1993,Irlande,,
CHARLES OLLIVON,RC Toulon,3e ligne,11 Mai 1993,France,199,113
Léo BERDEU,SU Agen,Arrière,13 Juin 1998,France,,
Giorgi BERIA,ASM Clermont,1ère ligne,11 Novembre 1999,France,,
PETER BETHAM,ASM Clermont,Centre,6 Janvier 1989,Australie,,
Quentin BETHUNE,Stade Français Paris,1ère ligne,25 Septembre 1995,France,,
Danwich BEUKES,RC Toulon,Arrière,10 Juillet 2001,Afrique du Sud,,
SEBASTIEN BEZY,Stade Toulousain,Demi mêlée,22 Novembre 1991,France,174,74
Mattin BIDEGAIN,Aviron Bayonnais,3e ligne,28 Octobre 1997,France,,
Dominic BIRD,Racing 92,2e ligne,9 Avril 1991,Angleterre,,
Setareki BITUNIYATA,CA Brive,Ailier,12 Août 1995,Fidji,,
REMI BONFILS,Stade Français Paris,1ère ligne,26 Septembre 1988,France,178,101
Ugo BONIFACE,Aviron Bayonnais,1ère ligne,21 Juillet 1998,France,,
ARTHUR BONNEVAL,Stade Toulousain,Ailier,31 Mai 1995,France,182,81
HUGO BONNEVAL,RC Toulon,Arrière,19 Novembre 1990,France,185,90
STEPHANE ONAMBELE MBARGA,RC Toulon,3e ligne,12 Février 1993,France,,
Etienne OOSTHUIZEN,LOU Rugby,2e ligne,22 Décembre 1992,Afrique du Sud,,
Manuel ORDAS,Aviron Bayonnais,Demi d'ouverture,21 Février 1998,France,,
JEAN CHARLES ORIOLI,Stade Rochelais,1ère ligne,9 Août 1989,France,179,111
Daniel ORSO,Section Paloise,2e ligne,22 Juin 1997,Italie,,
Julien ORY,RC Toulon,1ère ligne,24 Août 1996,France,,
FULGENCE OUEDRAOGO,Montpellier Hérault Rugby,3e ligne,21 Juillet 1986,France,191,99
ALI OZ,Racing 92,1ère ligne,28 Mai 1995,France,,
Pierre Pagès,Stade Toulousain,Demi mêlée,16 Mai 1990,France,,
VALENTIN PAGET,Montpellier Hérault Rugby,2e ligne,14 Novembre 1996,France,193,106
Rudy PAIGE,ASM Clermont,Demi mêlée,2 Août 1989,Afrique du Sud,,
BENOIT PAILLAUGUE,Montpellier Hérault Rugby,Demi mêlée,17 Novembre 1987,France,172,74
THIERRY PAIVA,Union Bordeaux-Bègles,1ère ligne,19 Novembre 1995,France,,
Geoffrey PALIS,Castres Olympique,Arrière,8 Juillet 1991,France,189,93
Alexis PALISSON,Stade Français Paris,Ailier,9 Septembre 1987,France,177,85
BORIS PALU,Racing 92,3e ligne,4 Février 1996,France,193,102
LAURENT PANIS,Stade Français Paris,1ère ligne,23 Avril 1993,France,,
PASCAL PAPE,Stade Français Paris,2e ligne,5 Octobre 1980,France,196,115
Taylor PARIS,Castres Olympique,Ailier,6 Octobre 1992,Italie,,
SERGIO PARISSE,RC Toulon,3e ligne,12 Septembre 1983,Italie,196,112
MORGAN PARRA,ASM Clermont,Demi mêlée,15 Novembre 1988,France,180,80
Anatole PAUVERT,Racing 92,Centre,23 Mai 1997,France,,
Anton PEIKRISHVILI,SU Agen,1ère ligne,18 Septembre 1987,Géorgie,,
JEAN BAPTISTE PEJOINE,CA Brive,Demi mêlée,17 Juillet 1980,France,174,75
Jonathan PELISSIE,LOU Rugby,Demi mêlée,6 Juin 1988,France,179,86
ADRIEN PELISSIE,Union Bordeaux-Bègles,1ère ligne,7 Août 1990,France,180,105
VINCENT PELO,Stade Rochelais,1ère ligne,22 Avril 1988,France,185,127
DAMIAN PENAUD,ASM Clermont,Centre,25 Septembre 1996,France,,
WILLIAM EDWARD MCDOUGALL PERCILLIER,Stade Français Paris,Demi mêlée,30 Janvier 1999,France,,
camille perritaz,Stade Français Paris,Centre,10 Juillet 1998,France,,
camille perritaz,Stade Français Paris,Demi mêlée,3 Février 2001,France,,
Ilyas PERUT,LOU Rugby,1ère ligne,12 Février 2001,France,,
BAPTISTE PESENTI,Section Paloise,3e ligne,3 Juillet 1997,France,,
Morgan Phelipponneau,Castres Olympique,1ère ligne,5 Septembre 1989,France,,
Pierce PHILLIPS,SU Agen,2e ligne,6 Octobre 1992,Angleterre,,
LOUIS PICAMOLES,Montpellier Hérault Rugby,3e ligne,5 Février 1986,France,192,106
JULIEN PIERRE,Section Paloise,2e ligne,31 Juillet 1981,France,197,114
ALBAN PLACINES,Stade Toulousain,3e ligne,23 Avril 1993,France,,
NICOLAS PLAZY,Union Bordeaux-Bègles,Arrière,17 Mai 1994,France,188,85
BRIEUC PLESSIS-COUILLAUD,Stade Rochelais,Centre,19 Mars 1994,France,,
THOMAS PLOYET,Stade Rochelais,2e ligne,12 Décembre 2001,France,,
LUCAS POINTUD,Section Paloise,1ère ligne,18 Janvier 1988,France,188,127
JEFFERSON POIROT,Union Bordeaux-Bègles,1ère ligne,1 Novembre 1992,France,182,122
CLEMENT POITRENAUD,Stade Toulousain,Arrière,20 Mai 1982,France,188,90
Handre POLLARD,Montpellier Hérault Rugby,Demi d'ouverture,3 Mars 1994,Afrique du Sud,,
BASTIEN POURAILLY,Section Paloise,Ailier,31 Janvier 1994,France,,
JEAN BAPTISTE POUX,Union Bordeaux-Bègles,1ère ligne,26 Septembre 1979,France,180,113
Dany PRISO MOUANGUE,Stade Rochelais,1ère ligne,2 Janvier 1994,France,,
UGO PROSPERO,RC Toulon,3e ligne,20 Juillet 1999,France,,
SILA KI VAI PUAFISI,Stade Rochelais,1ère ligne,15 Avril 1988,Tonga,,
MARTIN PUECH,Section Paloise,3e ligne,14 Décembre 1988,France,193,95
Jordan PULETUA,SU Agen,Centre,28 Février 1990,Samoa américain,,
Julien PURICELLI,LOU Rugby,3e ligne,1 Août 1981,France,196,106
HUGH WILLIAM PYLE,Stade Français Paris,2e ligne,21 Septembre 1988,Australie,201,118
JONE QOVU NAILIKO,Stade Rochelais,2e ligne,26 Juillet 1985,Fidji,197,127
Ludovic RADOSAVLJEVIC,Castres Olympique,Demi mêlée,17 Août 1989,France,180,95
TEVITA RAILEVU,Stade Rochelais,Centre,9 Mai 1997,Fidji,,
ALIVERETI RAKA,ASM Clermont,Ailier,9 Décembre 1994,Fidji,,
Marc-Antoine RALLIER,Castres Olympique,1ère ligne,2 Décembre 1988,France,182,107
Alban RAMETTE,CA Brive,Centre,7 Octobre 1998,France,,
THOMAS RAMOS,Stade Toulousain,Arrière,23 Juillet 1995,France,178,80
Veresa Tuqovu RAMOTOTABUA,Stade Français Paris,Ailier,12 Juin 2000,Fidji,,
DANIEL MARK RAMSAY,Section Paloise,2e ligne,1 Juin 1984,Nouvelle Zélande,197,114
VINCENT RATTEZ,Stade Rochelais,Centre,24 Mars 1992,France,175,83
Peni RAVAI,Union Bordeaux-Bègles,1ère ligne,16 Juin 1990,Fidji,,
Rayan REBBADJ,RC Toulon,Centre,15 Août 1999,France,,
SWAN REBBADJ,RC Toulon,2e ligne,15 Janvier 1995,France,202,116
Thibaut REGARD,LOU Rugby,Centre,6 Août 1993,France,,
Jean-Baptiste REGGIARDO,Stade Toulousain,1ère ligne,9 Janvier 2000,France,,
YVAN REILHAC,Montpellier Hérault Rugby,Centre,9 Juin 1995,France,,
Simon RENDA,Stade Toulousain,Centre,7 Juin 2000,France,,
ARTHUR RETIERE,Stade Rochelais,Demi mêlée,1 Août 1997,France,173,75
FLORIAN REVERT,Stade Français Paris,2e ligne,18 Février 1997,France,203,106
LUCAS REY,Section Paloise,1ère ligne,27 Avril 1997,France,,
Clement RIC,LOU Rugby,1ère ligne,18 Juillet 1988,France,182,114
Romain Riguet,Stade Toulousain,Centre,10 Avril 2001,France,,
Kalani ROBERT,RC Toulon,2e ligne,27 Janvier 2001,France,,
Sean Jack ROBINSON,Aviron Bayonnais,Arrière,2 Novembre 1993,Afrique du Sud,182,95
ROBERT RODGERS,Montpellier Hérault Rugby,1ère ligne,18 Juin 2001,Afrique du Sud,,
Timilaï ROKODURU,SU Agen,Ailier,21 Janvier 1993,Fidji,,
Martial ROLLAND,LOU Rugby,2e ligne,17 Août 1998,France,,
FRANCK ROMANET,CA Brive,Ailier,2 Mai 1986,France,178,89
Hendrik Lambertus ROODT,LOU Rugby,2e ligne,6 Novembre 1987,Afrique du Sud,198,126
Raphaël ROPARS,Union Bordeaux-Bègles,1ère ligne,8 Janvier 1999,France,,
ELIOTT ROUDIL,Stade Rochelais,Centre,30 Octobre 1996,France,,
Guillaume ROUET,Aviron Bayonnais,Demi mêlée,13 Août 1988,France,170,75
ALEXANDRE ROUMAT,Union Bordeaux-Bègles,3e ligne,27 Juin 1997,France,,
Michael RURU,Aviron Bayonnais,Demi mêlée,3 Décembre 1990,Nouvelle Zélande,,
Donnacha RYAN,Racing 92,2e ligne,11 Décembre 1983,Irlande,,
David Michael RYAN,SU Agen,1ère ligne,21 Avril 1986,Irlande,,
Carlu Johann SADIE,Stade Français Paris,1ère ligne,7 Mai 1997,Afrique du Sud,,
Johann SADIE,SU Agen,Centre,23 Janvier 1989,Afrique du Sud,188,96
Cyprien SAILLARD,LOU Rugby,Demi mêlée,13 Janvier 2001,France,,
Christophe SAMSON,Castres Olympique,2e ligne,1 Mars 1984,France,197,109
FREDERICO NICOLAS SANCHEZ,Stade Français Paris,A définir,26 Octobre 1988,Espagne,,
FABIEN SANCONNIE,Racing 92,3e ligne,21 Février 1995,France,,
ENZO SANGA,Montpellier Hérault Rugby,Demi mêlée,19 Mai 1995,France,,
Emmanuel SAUBUSSE,Aviron Bayonnais,Demi mêlée,23 Novembre 1989,France,181,82
Valentin SAURS,SU Agen,Arrière,12 Février 1995,France,181,80
PAUL SAUZARET,Castres Olympique,1ère ligne,4 Mars 1997,France,185,114
ROMAIN SAZY,Stade Rochelais,2e ligne,14 Octobre 1986,France,199,105
Rory SCHOLES,CA Brive,Ailier,23 Avril 1993,Irlande,,
LOUIS SCHREUDER,RC Toulon,Demi mêlée,25 Avril 1990,Afrique du Sud,,
Joël Antonio SCLAVI,SU Agen,1ère ligne,25 Juin 1994,Argentine,,
JORIS SEGONDS,Stade Français Paris,Demi d'ouverture,6 Avril 1997,France,,
VALENTIN SEILLE,Montpellier Hérault Rugby,1ère ligne,7 Avril 1999,France,,
ATILA SEPTAR,Section Paloise,Centre,2 Juin 1996,France,,
JAN SERFONTEIN,Montpellier Hérault Rugby,Centre,15 Avril 1993,Afrique du Sud,187,97
BAPTISTE SERIN,RC Toulon,Demi mêlée,20 Juin 1994,France,,
EMERICK SETIANO,RC Toulon,1ère ligne,19 Juillet 1996,France,183,114
ULUPANO SEUTENI,Union Bordeaux-Bègles,Demi d'ouverture,9 Décembre 1993,Australie,192,92
GODERZI SHVELIDZE,CA Brive,1ère ligne,17 Avril 1978,France,177,110
JEREMY SINZELLE,Stade Rochelais,Trois quart aile,2 Juillet 1990,France,184,88
Sitiveni Waica SIVIVATU,Castres Olympique,Ailier,19 Avril 1982,Fidji,186,100
COLIN SLADE,Section Paloise,Demi d'ouverture,10 Octobre 1987,Nouvelle Zélande,,
RABAH SLIMANI,ASM Clermont,1ère ligne,18 Octobre 1989,France,178,113
Mathieu SMAILI,RC Toulon,Centre,30 Août 1999,France,,
Benjamin SMITH,Section Paloise,Arrière,1 Juin 1986,Nouvelle Zélande,,
CONRAD SMITH,Section Paloise,Centre,12 Octobre 1981,Nouvelle Zélande,,
JOHAN SNYMAN,CA Brive,2e ligne,9 Juillet 1986,Afrique du Sud,,
Patrick SOBELA,LOU Rugby,3e ligne,12 Août 1992,France,188,102
BASTIEN SOURY,RC Toulon,1ère ligne,18 Mars 1995,France,180,100
Henry SPRING,Stade Français Paris,3e ligne,15 Mai 2001,Fidji,,
Hendre STASSEN,Stade Français Paris,2e ligne,29 Décembre 1997,Afrique du Sud,,
François STEYN,Montpellier Hérault Rugby,Centre,14 Mai 1987,Afrique du Sud,,
Joshua Zac STRAUSS,Stade Français Paris,2e ligne,23 Octobre 1986,Afrique du Sud,,
Tudor STROE,Castres Olympique,1ère ligne,6 Septembre 1993,France,,
LASHA TABIDZE,Union Bordeaux-Bègles,1ère ligne,4 Juillet 1997,Géorgie,,
Mike TADJER,ASM Clermont,1ère ligne,10 Mars 1989,France,183,123
PAULO TAFILI,Stade Toulousain,1ère ligne,15 Février 1996,France,183,120
LEKIMA VUDA TAGITAGIVALU,Section Paloise,3e ligne,4 Décembre 1995,Fidji,,
SETA TAMANIVALU,Union Bordeaux-Bègles,Centre,23 Juillet 1992,Fidji,,
Benjamin TAMEIFUNA,Racing 92,1ère ligne,30 Août 1991,Nouvelle Zélande,182,127
Yoan TANGA MANGENE,Racing 92,3e ligne,29 Novembre 1996,France,,
MATHIEU TANGUY,Stade Rochelais,2e ligne,5 Juin 1996,France,,
SEBASTIEN TAOFIFENUA,RC Toulon,1ère ligne,21 Mars 1992,France,,
Filimo TAOFIFENUA,Aviron Bayonnais,3e ligne,15 Octobre 1993,France,,
ROMAIN TAOFIFENUA,RC Toulon,2e ligne,14 Septembre 1990,France,200,127
Wesley Berkeley TAPUELUELU,CA Brive,1ère ligne,3 Décembre 1999,Tonga,,
Luigi TAROZZI,Racing 92,Demi d'ouverture,5 Mai 1998,France,,
Pierre TATRE,Castres Olympique,1ère ligne,22 Février 1999,France,,
Sione TAU,Aviron Bayonnais,3e ligne,21 Février 1989,Tonga,192,105
Tomaakino TAUFA,Aviron Bayonnais,1ère ligne,9 Mars 1995,Tonga,,
JAMIE-JERRY TAULAGI,SU Agen,Arrière,18 Juin 1993,Nouvelle Zélande,,
MARCO TAULEIGNE,Union Bordeaux-Bègles,3e ligne,30 Août 1993,France,,
LUCAS TAUZIN,Stade Toulousain,Ailier,21 Mai 1998,France,,
TOM TAYLOR,Section Paloise,Centre,11 Mars 1989,Nouvelle Zélande,,
Tristan James TEDDER,Stade Toulousain,Demi d'ouverture,17 Avril 1996,Autriche,,
IOSEFA TEKORI,Stade Toulousain,2e ligne,17 Décembre 1983,Samoa américain,192,123
Giorgi TETRASHVILI,SU Agen,1ère ligne,31 Août 1993,Géorgie,177,115
LUCAS THARIN,Castres Olympique,Centre,30 Décembre 1998,France,,
MATTHIEU THOMAS,Stade Rochelais,3e ligne,23 Juillet 1999,France,,
CODY THOMAS,CA Brive,1ère ligne,1 Mars 1996,Afrique du Sud,,
TEDDY THOMAS,Racing 92,Ailier,18 Septembre 1993,France,,
HAYDEN THOMPSON-STRINGER,CA Brive,1ère ligne,29 Décembre 1994,Angleterre,,
Laurent Thuery,Stade Toulousain,,15 Décembre 1988,France,,
Antoine TICHIT,Castres Olympique,1ère ligne,13 Juin 1989,France,182,110
MATTHEW TIERNEY,Castres Olympique,1ère ligne,4 Juillet 1996,Canada,,
SITALEKI TIMANI,ASM Clermont,2e ligne,19 Septembre 1986,Tonga,203,120
Caleb Kalisi TIMU,Montpellier Hérault Rugby,3e ligne,22 Février 1994,Australie,,
Julien TISSERON,Aviron Bayonnais,Arrière,12 Août 1995,France,,
ISAIA TOEAVA,ASM Clermont,Arrière,15 Janvier 1986,Samoa américain,181,100
SELEVASIO TOLOFUA,Stade Toulousain,Centre,31 Mai 1997,France,186,100
Lucas TOLOFUA,Castres Olympique,2e ligne,18 Août 1999,France,,
Loris TOLOT,SU Agen,Arrière,3 Mars 1993,France,,
GONZALO BONTEMPO LOPEZ,CA Brive,Arrière,10 Février 2000,Italie,,
Teo BORDENAVE,Section Paloise,1ère ligne,10 Août 2001,France,,
Facundo BOSCH,Stade Rochelais,1ère ligne,8 Août 1991,Argentine,,
LESLEY BOTHA,Montpellier Hérault Rugby,Centre,6 Juillet 2001,Afrique du Sud,,
Benjamin Frano Kenny Botica,Union Bordeaux-Bègles,Demi d'ouverture,7 Octobre 1989,Grande-Bretagne,,
LAURENT BOUCHET,Section Paloise,1ère ligne,23 Août 1988,France,183,106
MOHAMED BOUGHANMI,Section Paloise,1ère ligne,27 Octobre 1991,France,194,127
Boris Bouhraoua,Stade Français Paris,,4 Mai 1984,,,
REMI BOURDEAU,Stade Rochelais,3e ligne,27 Février 1992,France,,
Pierre BOURGARIT,Stade Rochelais,1ère ligne,12 Septembre 1997,France,,
Bastien BOURGIER,Castres Olympique,Demi mêlée,5 Février 1999,France,,
Anthony BOUTHIER,Montpellier Hérault Rugby,Arrière,19 Juin 1992,France,,
Antoine BOUZERAND,Castres Olympique,Arrière,26 Mai 1999,France,,
FRANCOIS TRINH DUC,Racing 92,Demi d'ouverture,11 Novembre 1986,France,186,90
AYMERIC TRONC,CA Brive,3e ligne,24 Janvier 2001,France,,
Irakli TSKHADADZE,CA Brive,3e ligne,1 Août 1996,Géorgie,,
KHVICHA TSOPURASHVILI,Stade Français Paris,1ère ligne,2 Février 2000,Géorgie,,
Kamaliele TUFELE,SU Agen,1ère ligne,11 Octobre 1995,France,,
SIONE FEOFA'AKI TUI,Stade Français Paris,Ailier,8 Juillet 1999,Australie,,
SETARIKI TUICUVU,ASM Clermont,Centre,7 Septembre 1995,Fidji,,
EMILE PETER TUIMAVAVE,Stade Rochelais,1ère ligne,21 Décembre 2000,Australie,,
Alex TULOU,Castres Olympique,3e ligne,21 Mars 1987,Nouvelle Zélande,192,114
MASALOSALO TUTAIA,Union Bordeaux-Bègles,2e ligne,5 Juin 1984,Nouvelle Zélande,204,127
PATRICK TUUGAHALA,Racing 92,1ère ligne,1 Décembre 1997,France,,
MATTHIEU UGENA,Section Paloise,3e ligne,25 Juillet 1995,France,,
JOHN JOHN ULUGIA,ASM Clermont,1ère ligne,17 Janvier 1986,Nouvelle Zélande,180,115
Benjamin URDAPILLETA,Castres Olympique,Demi d'ouverture,11 Mars 1986,Italie,178,84
Jan UYS,CA Brive,2e ligne,3 Janvier 1994,Afrique du Sud,,
SEBASTIEN VAHAAMAHINA,ASM Clermont,2e ligne,21 Octobre 1991,France,202,125
Maama 'Oe   Mo'Ui VAIPULU,Castres Olympique,3e ligne,21 Juillet 1989,Nouvelle Zélande,,
Sam VAKA,SU Agen,Centre,26 Octobre 1992,Nouvelle Zélande,,
NICOLAAS JOHANNES VAN DYK,Stade Toulousain,1ère ligne,21 Janvier 1992,Afrique du Sud,,
Renger VAN EERTEN,CA Brive,2e ligne,2 Août 1999,Pays-Bas,,
Pieter Jan VAN LILL,Aviron Bayonnais,3e ligne,4 Décembre 1983,Namibie,193,112
Janse VAN RENSBURG,Montpellier Hérault Rugby,2e ligne,6 Mai 1994,Afrique du Sud,,
JACOBUS VAN TONDER,ASM Clermont,2e ligne,3 Mars 1998,Afrique du Sud,,
Malino VANAI,SU Agen,1ère ligne,4 Mai 1993,France,,
FLORENT VANVERBERGHE,RC Toulon,2e ligne,22 Juillet 2000,France,,
Rémi VAQUIN,SU Agen,3e ligne,27 Juillet 1983,France,190,100
JALE KAIKADAVU VATUBUA,Section Paloise,Centre,30 Août 1991,Fidji,,
LEVANI BOTIA VEIVUKE,Stade Rochelais,Centre,14 Mars 1989,Fidji,182,103
Théo VELTEN,Racing 92,Ailier,17 Septembre 1998,France,,
Matteo VENTURA,LOU Rugby,1ère ligne,31 Mars 2001,France,,
Clément VERCRUYSSE,Section Paloise,Demi mêlée,2 Octobre 2000,France,,
FLORIAN VERHAEGHE,Stade Toulousain,2e ligne,27 Avril 1997,France,202,95
CORENTIN VERNET,RC Toulon,2e ligne,27 Septembre 1996,France,200,127
Thomas VERNET,RC Toulon,1ère ligne,14 Juillet 1994,France,,
Florian VIALELLE,Castres Olympique,Centre,5 Octobre 1993,France,,
ADRIEN VIGNE,Union Bordeaux-Bègles,3e ligne,14 Octobre 1998,France,,
ARTHUR VIGNOLLES,Stade Toulousain,3e ligne,23 Juin 1999,France,,
VICTOR VITO,Stade Rochelais,3e ligne,27 Mars 1987,Nouvelle Zélande,,
MATTHIEU VOISIN,CA Brive,3e ligne,16 Mai 1996,France,193,104
Ben Thomas Tuvula VOLAVOLA,Racing 92,Arrière,13 Janvier 1991,Fidji,,
WATISONI VOTU,Section Paloise,Ailier,25 Mars 1985,Fidji,187,93
WAISEA VUIDRAVUWALU,Stade Français Paris,Trois quart aile,26 Juin 1990,Fidji,193,104
Sunia VULI,LOU Rugby,1ère ligne,30 Juillet 2000,Fidji,,
DOMINIKO WAQANIBUROTU,Section Paloise,3e ligne,20 Avril 1986,Fidji,193,111
REDA WARDI,Stade Rochelais,1ère ligne,2 Août 1995,France,,
Luke WHITELOCK,Section Paloise,3e ligne,29 Janvier 1991,Nouvelle Zélande,,
KARENA WIHONGI,Castres Olympique,1ère ligne,29 Septembre 1979,France,186,127
PAUL WILLEMSE,Montpellier Hérault Rugby,2e ligne,13 Novembre 1992,Afrique du Sud,,
Theo WILLIAM,LOU Rugby,3e ligne,4 Juillet 2000,France,,
Jonathan WISNIEWSKI,LOU Rugby,Demi d'ouverture,16 Juillet 1985,France,180,79
KADE WOLHUTER,Montpellier Hérault Rugby,Arrière,28 Juin 2001,Afrique du Sud,,
Rudolffe WULF,LOU Rugby,Ailier,2 Février 1984,Samoa américain,182,90
Kévin YAMEOGO,LOU Rugby,1ère ligne,19 Mai 1997,France,,
PECELI YATO,ASM Clermont,3e ligne,17 Janvier 1993,Fidji,,
YANNICK YOUYOUTTE,Stade Toulousain,2e ligne,30 Août 1999,France,,
Loris ZARANTONELLO,SU Agen,1ère ligne,17 Novembre 2000,France,,
Simon ZEBO,Racing 92,Ailier,16 Mars 1990,Irlande,,
DAVIT ZIRAKASHVILI,ASM Clermont,1ère ligne,10 Octobre 1983,France,179,120
Romain BRIATTE,SU Agen,2e ligne,18 Février 1993,France,,
Rémi BROSSET,SU Agen,Arrière,12 Février 2000,France,,
Virgile BRUNI,LOU Rugby,3e ligne,6 Février 1989,France,198,107
Eneriko BULIRUARUA,CA Brive,Centre,23 Janvier 1997,Fidji,,
ANTOINE BURBAN,Stade Français Paris,3e ligne,22 Juillet 1987,France,190,101
Jean-Marcellin BUTTIN,LOU Rugby,Arrière,16 Décembre 1991,France,192,92
Ignacio CALLES,Section Paloise,1ère ligne,24 Octobre 1995,Argentine,,
DJIBRIL CAMARA,Aviron Bayonnais,Arrière,22 Juin 1989,France,184,85
YACOUBA CAMARA,Montpellier Hérault Rugby,3e ligne,2 Juin 1994,France,,
SOULEMANE CAMARA,Stade Français Paris,1ère ligne,4 Avril 1999,France,,
Julien CAMINATI,Castres Olympique,Ailier,28 Octobre 1985,France,178,88
Judicael Cancoriet,ASM Clermont,,France,,,
JUDICAEL CANCORIET,ASM Clermont,3e ligne,25 Avril 1996,France,,
Rodrigo CAPO ORTEGA,Castres Olympique,2e ligne,8 Décembre 1980,Italie,192,120
Louis CARBONEL,RC Toulon,Demi d'ouverture,4 Février 1999,France,180,
CHARLIE CASSANG,ASM Clermont,Demi mêlée,8 Février 1995,France,,
CLEMENT CASTETS,Stade Toulousain,1ère ligne,5 Mai 1996,France,,
CYRIL CAZEAUX,Union Bordeaux-Bègles,2e ligne,10 Février 1995,France,,
STEEVY CERQUEIRA,CA Brive,3e ligne,9 Août 1993,France,,
Corentin CHABEAUDIE,SU Agen,1ère ligne,3 Février 1997,France,,
Vladimeri CHACHANIDZE,Aviron Bayonnais,2e ligne,14 Mai 2000,Géorgie,,
Jules CHADOURNE,Castres Olympique,1ère ligne,6 Novembre 1999,France,,
BASTIEN CHALUREAU,Stade Toulousain,2e ligne,13 Février 1992,France,,
RYAN CHAPUIS,Stade Français Paris,3e ligne,12 Décembre 1997,France,188,98
Yanis CHARCOSSET,LOU Rugby,1ère ligne,28 Août 2001,France,,
CAMILLE CHAT,Racing 92,1ère ligne,18 Décembre 1995,France,180,106
Raphael CHAUME,LOU Rugby,1ère ligne,29 Avril 1989,France,185,106
Simon Pierre CHAUVAC,CA Brive,1ère ligne,23 Mars 1998,France,,
Xavier CHAUVEAU,SU Agen,Demi mêlée,14 Octobre 1992,France,,
HENRY CHAVANCY,Racing 92,Trois quart centre,22 Mai 1988,France,181,97
LEVAN CHILACHAVA,Montpellier Hérault Rugby,1ère ligne,17 Août 1991,Géorgie,126,
Xavier CHIOCCI,LOU Rugby,1ère ligne,13 Février 1990,France,180,122
Baptiste CHOUZENOUX,Racing 92,3e ligne,7 Août 1993,France,,
Dorian CIOSSE,Section Paloise,1ère ligne,2 Janvier 2002,France,,
