nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
Robert EBERSOHN,Castres Olympique,Centre,23 Février 1989,Afrique du Sud,180,89
Eliès EL ANSARI,Stade Français Paris,1ère ligne,22 Janvier 1997,France,,
ZAKARIA EL FAKIR,Union Bordeaux-Bègles,1ère ligne,29 Janvier 1997,France,,
Rynhardt Elstadt,Stade Toulousain,2e ligne,20 Décembre 1989,Afrique du Sud,,
Johannes Jacobus ENGELBRECHT,ASM Clermont,Ailier,22 Février 1989,Afrique du Sud,,
Antoine ERBANI,Section Paloise,3e ligne,7 Février 1990,France,192,100
LESTER ETIEN,Stade Français Paris,Centre,21 Juin 1995,France,,
ANTHONY ETRILLARD,RC Toulon,1ère ligne,21 Mars 1993,France,180,110
Eben ETZEBETH,RC Toulon,2e ligne,29 Octobre 1991,Afrique du Sud,,
Samuel EZEALA,ASM Clermont,,11 Décembre 1999,Espagne,,
Pello EZPELETA,Aviron Bayonnais,,12 Août 1998,France,,
SOOTALA FA'ASO'O,CA Brive,3e ligne,2 Octobre 1994,Nouvelle Zélande,,
Paea I Okalani FAANUNU,Castres Olympique,1ère ligne,4 Novembre 1988,Tonga,187,127
Brandon FAJARDO,Aviron Bayonnais,Demi d'ouverture,25 Juin 1994,France,,
Sosefo FALATEA,Castres Olympique,1ère ligne,12 Décembre 1988,France,186,127
SIPILI FALATEA,ASM Clermont,1ère ligne,6 Juin 1997,France,,
ETIENNE FALGOUX,ASM Clermont,1ère ligne,19 Janvier 1993,France,,
BENJAMIN FALL,Montpellier Hérault Rugby,Arrière,3 Mars 1989,France,186,98
Nathan FARISSIER,LOU Rugby,Ailier,20 Avril 2001,France,,
Vincent FARRE,SU Agen,3e ligne,6 Juin 1990,France,193,103
Charlie FAUMUINA,Stade Toulousain,1ère ligne,24 Décembre 1986,Nouvelle Zélande,,
Carl FEARNS,LOU Rugby,3e ligne,28 Mai 1989,Angleterre,,
ANGEL FERNANDES ALVES,Castres Olympique,1ère ligne,25 Septembre 2001,France,,
Patricio FERNANDEZ,LOU Rugby,Demi d'ouverture,11 Octobre 1994,Espagne,,
GREGORY FICHTEN,Montpellier Hérault Rugby,1ère ligne,13 Août 1990,France,183,120
GAEL FICKOU,Stade Français Paris,Centre,26 Mars 1994,France,,
Kevin FIRMIN,Castres Olympique,1ère ligne,20 Avril 1992,France,,
ALEXANDRE FISCHER,ASM Clermont,,19 Janvier 1998,France,,
Siegfried FISIIHOI,Section Paloise,1ère ligne,8 Juin 1987,Tonga,,
ALEXANDRE FLANQUART,Union Bordeaux-Bègles,2e ligne,9 Octobre 1989,France,206,114
WESLEY FOFANA,ASM Clermont,Arrière,20 Janvier 1988,France,178,95
Thomas FORTUNEL,Castres Olympique,Demi d'ouverture,7 Juin 1995,France,177,76
Kahn Faasega FOTUALII,Montpellier Hérault Rugby,Demi mêlée,22 Mai 1982,Nouvelle Zélande,,
RICHARD FOURCADE,CA Brive,2e ligne,4 Avril 1993,France,,
LOUIS FOURSANS BOURDETTE,Montpellier Hérault Rugby,Demi d'ouverture,29 Janvier 2002,France,,
Pierre FOUYSSAC,Stade Toulousain,Ailier,17 Mars 1995,France,190,102
CHARLIE FRANCOZ,Stade Français Paris,3e ligne,3 Juin 1998,France,,
FLORIAN FRESIA,RC Toulon,1ère ligne,17 Janvier 1992,France,185,118
Nicolas Frize,Castres Olympique,,8 Août 1984,France,185,12
